[IfNode | N°1 | Parent N° NULL - ø | Depth : 0 | Tester : CheckWallLeftToPacman]
[IfNode | N°2 | Parent N° 1 - leftChild | Depth : 1 | Tester : CheckWallLeftToPacman]
[TerminalNode | N°3 | Parent N° 1 - rightChild | Depth : 1 | Direction : RIGHT]
[IfNode | N°4 | Parent N° 2 - leftChild | Depth : 2 | Tester : CheckWallLeftToPacman]
[IfNode | N°5 | Parent N° 2 - rightChild | Depth : 2 | Tester : CheckWallLeftToPacman]
[IfNode | N°6 | Parent N° 4 - leftChild | Depth : 3 | Tester : CheckWallLeftToPacman]
[IfNode | N°7 | Parent N° 4 - rightChild | Depth : 3 | Tester : CheckWallLeftToPacman]
[IfNode | N°334 | Parent N° 5 - leftChild | Depth : 3 | Tester : CheckWallLeftToPacman]
[TerminalNode | N°335 | Parent N° 5 - rightChild | Depth : 3 | Direction : UP]
[IfNode | N°8 | Parent N° 6 - leftChild | Depth : 4 | Tester : CheckWallLeftToPacman]
[IfNode | N°9 | Parent N° 6 - rightChild | Depth : 4 | Tester : CheckWallLeftToPacman]
[IfNode | N°186 | Parent N° 7 - leftChild | Depth : 4 | Tester : CheckWallLeftToPacman]
[IfNode | N°187 | Parent N° 7 - rightChild | Depth : 4 | Tester : CheckWallLeftToPacman]
[IfNode | N°336 | Parent N° 334 - leftChild | Depth : 4 | Tester : CheckWallLeftToPacman]
[TerminalNode | N°337 | Parent N° 334 - rightChild | Depth : 4 | Direction : DOWN]
[IfNode | N°10 | Parent N° 8 - leftChild | Depth : 5 | Tester : CheckWallLeftToPacman]
[IfNode | N°11 | Parent N° 8 - rightChild | Depth : 5 | Tester : CheckWallLeftToPacman]
[TerminalNode | N°128 | Parent N° 9 - leftChild | Depth : 5 | Direction : DOWN]
[TerminalNode | N°129 | Parent N° 9 - rightChild | Depth : 5 | Direction : DOWN]
[IfNode | N°188 | Parent N° 186 - leftChild | Depth : 5 | Tester : CheckWallLeftToPacman]
[IfNode | N°189 | Parent N° 186 - rightChild | Depth : 5 | Tester : CheckWallLeftToPacman]
[TerminalNode | N°276 | Parent N° 187 - leftChild | Depth : 5 | Direction : UP]
[IfNode | N°277 | Parent N° 187 - rightChild | Depth : 5 | Tester : CheckWallLeftToPacman]
[IfNode | N°338 | Parent N° 336 - leftChild | Depth : 5 | Tester : CheckWallLeftToPacman]
[IfNode | N°339 | Parent N° 336 - rightChild | Depth : 5 | Tester : CheckWallLeftToPacman]
[IfNode | N°12 | Parent N° 10 - leftChild | Depth : 6 | Tester : CheckWallLeftToPacman]
[IfNode | N°13 | Parent N° 10 - rightChild | Depth : 6 | Tester : CheckWallLeftToPacman]
[IfNode | N°66 | Parent N° 11 - leftChild | Depth : 6 | Tester : CheckWallLeftToPacman]
[IfNode | N°67 | Parent N° 11 - rightChild | Depth : 6 | Tester : CheckWallLeftToPacman]
[IfNode | N°190 | Parent N° 188 - leftChild | Depth : 6 | Tester : CheckWallLeftToPacman]
[IfNode | N°191 | Parent N° 188 - rightChild | Depth : 6 | Tester : CheckWallLeftToPacman]
[IfNode | N°236 | Parent N° 189 - leftChild | Depth : 6 | Tester : CheckWallLeftToPacman]
[TerminalNode | N°237 | Parent N° 189 - rightChild | Depth : 6 | Direction : UP]
