-----------------------------------------------------------------------
Generation 51

Pacman N°1
[Node 1 | Parent : ø | Child : ø | Depth : 0 | IfNode | Tester : CheckWallDownToPacman]
[Node 2 | Parent : 1 | Child : L | Depth : 1 | IfNode | Tester : CheckGhostDownToPacman]
[Node 9 | Parent : 1 | Child : R | Depth : 1 | IfNode | Tester : CheckGhostIsClose]
[Node 3 | Parent : 2 | Child : L | Depth : 2 | IfNode | Tester : CheckPacgumIsClose]
[Node 8 | Parent : 2 | Child : R | Depth : 2 | TerminalNode | Direction : RIGHT]
[Node 10 | Parent : 9 | Child : L | Depth : 2 | IfNode | Tester : CheckGhostUpToPacman]
[Node 135 | Parent : 9 | Child : R | Depth : 2 | TerminalNode | Direction : LEFT]
[Node 4 | Parent : 3 | Child : L | Depth : 3 | TerminalNode | Direction : LEFT]
[Node 5 | Parent : 3 | Child : R | Depth : 3 | IfNode | Tester : CheckGhostIsClose]
[Node 11 | Parent : 10 | Child : L | Depth : 3 | TerminalNode | Direction : UP]
[Node 12 | Parent : 10 | Child : R | Depth : 3 | IfNode | Tester : CheckWallDownToPacman]
[Node 6 | Parent : 5 | Child : L | Depth : 4 | TerminalNode | Direction : UP]
[Node 7 | Parent : 5 | Child : R | Depth : 4 | TerminalNode | Direction : RIGHT]
[Node 13 | Parent : 12 | Child : L | Depth : 4 | IfNode | Tester : CheckGhostDownToPacman]
[Node 130 | Parent : 12 | Child : R | Depth : 4 | IfNode | Tester : CheckGhostIsClose]
[Node 14 | Parent : 13 | Child : L | Depth : 5 | IfNode | Tester : CheckPacgumIsClose]
[Node 127 | Parent : 13 | Child : R | Depth : 5 | IfNode | Tester : CheckPacgumRightToPacman]
[Node 131 | Parent : 130 | Child : L | Depth : 5 | IfNode | Tester : CheckGhostUpToPacman]
[Node 134 | Parent : 130 | Child : R | Depth : 5 | TerminalNode | Direction : UP]
[Node 15 | Parent : 14 | Child : L | Depth : 6 | TerminalNode | Direction : LEFT]
[Node 16 | Parent : 14 | Child : R | Depth : 6 | IfNode | Tester : CheckPacgumDownToPacman]
[Node 128 | Parent : 127 | Child : L | Depth : 6 | TerminalNode | Direction : RIGHT]
[Node 129 | Parent : 127 | Child : R | Depth : 6 | TerminalNode | Direction : LEFT]
[Node 132 | Parent : 131 | Child : L | Depth : 6 | TerminalNode | Direction : UP]
[Node 133 | Parent : 131 | Child : R | Depth : 6 | TerminalNode | Direction : RIGHT]
[Node 17 | Parent : 16 | Child : L | Depth : 7 | TerminalNode | Direction : LEFT]
[Node 18 | Parent : 16 | Child : R | Depth : 7 | IfNode | Tester : CheckWallUpToPacman]
[Node 19 | Parent : 18 | Child : L | Depth : 8 | IfNode | Tester : CheckWallRightToPacman]
[Node 34 | Parent : 18 | Child : R | Depth : 8 | IfNode | Tester : CheckWallDownToPacman]
[Node 20 | Parent : 19 | Child : L | Depth : 9 | TerminalNode | Direction : LEFT]
[Node 21 | Parent : 19 | Child : R | Depth : 9 | IfNode | Tester : CheckWallDownToPacman]
[Node 35 | Parent : 34 | Child : L | Depth : 9 | IfNode | Tester : CheckGhostDownToPacman]
[Node 122 | Parent : 34 | Child : R | Depth : 9 | IfNode | Tester : CheckGhostIsClose]
[Node 22 | Parent : 21 | Child : L | Depth : 10 | IfNode | Tester : CheckGhostRightToPacman]
[Node 33 | Parent : 21 | Child : R | Depth : 10 | TerminalNode | Direction : UP]
[Node 36 | Parent : 35 | Child : L | Depth : 10 | IfNode | Tester : CheckPacgumIsClose]
[Node 119 | Parent : 35 | Child : R | Depth : 10 | IfNode | Tester : CheckPacgumRightToPacman]
[Node 123 | Parent : 122 | Child : L | Depth : 10 | IfNode | Tester : CheckGhostUpToPacman]
[Node 126 | Parent : 122 | Child : R | Depth : 10 | TerminalNode | Direction : LEFT]
[Node 23 | Parent : 22 | Child : L | Depth : 11 | IfNode | Tester : CheckWallDownToPacman]
[Node 26 | Parent : 22 | Child : R | Depth : 11 | IfNode | Tester : CheckGhostIsClose]
[Node 37 | Parent : 36 | Child : L | Depth : 11 | TerminalNode | Direction : LEFT]
[Node 38 | Parent : 36 | Child : R | Depth : 11 | IfNode | Tester : CheckPacgumDownToPacman]
[Node 120 | Parent : 119 | Child : L | Depth : 11 | TerminalNode | Direction : RIGHT]
[Node 121 | Parent : 119 | Child : R | Depth : 11 | TerminalNode | Direction : LEFT]
[Node 124 | Parent : 123 | Child : L | Depth : 11 | TerminalNode | Direction : UP]
[Node 125 | Parent : 123 | Child : R | Depth : 11 | TerminalNode | Direction : RIGHT]
[Node 24 | Parent : 23 | Child : L | Depth : 12 | TerminalNode | Direction : DOWN]
[Node 25 | Parent : 23 | Child : R | Depth : 12 | TerminalNode | Direction : UP]
[Node 27 | Parent : 26 | Child : L | Depth : 12 | IfNode | Tester : CheckWallDownToPacman]
[Node 30 | Parent : 26 | Child : R | Depth : 12 | IfNode | Tester : CheckWallDownToPacman]
[Node 39 | Parent : 38 | Child : L | Depth : 12 | TerminalNode | Direction : LEFT]
[Node 40 | Parent : 38 | Child : R | Depth : 12 | IfNode | Tester : CheckWallUpToPacman]
[Node 28 | Parent : 27 | Child : L | Depth : 13 | TerminalNode | Direction : LEFT]
[Node 29 | Parent : 27 | Child : R | Depth : 13 | TerminalNode | Direction : DOWN]
[Node 31 | Parent : 30 | Child : L | Depth : 13 | TerminalNode | Direction : LEFT]
[Node 32 | Parent : 30 | Child : R | Depth : 13 | TerminalNode | Direction : UP]
[Node 41 | Parent : 40 | Child : L | Depth : 13 | IfNode | Tester : CheckWallRightToPacman]
[Node 100 | Parent : 40 | Child : R | Depth : 13 | IfNode | Tester : CheckGhostDownToPacman]
[Node 42 | Parent : 41 | Child : L | Depth : 14 | TerminalNode | Direction : LEFT]
[Node 43 | Parent : 41 | Child : R | Depth : 14 | IfNode | Tester : CheckWallDownToPacman]
[Node 101 | Parent : 100 | Child : L | Depth : 14 | IfNode | Tester : CheckWallLeftToPacman]
[Node 112 | Parent : 100 | Child : R | Depth : 14 | IfNode | Tester : CheckWallRightToPacman]
[Node 44 | Parent : 43 | Child : L | Depth : 15 | IfNode | Tester : CheckGhostRightToPacman]
[Node 77 | Parent : 43 | Child : R | Depth : 15 | IfNode | Tester : CheckWallLeftToPacman]
[Node 102 | Parent : 101 | Child : L | Depth : 15 | IfNode | Tester : CheckGhostUpToPacman]
[Node 107 | Parent : 101 | Child : R | Depth : 15 | IfNode | Tester : CheckGhostIsClose]
[Node 113 | Parent : 112 | Child : L | Depth : 15 | IfNode | Tester : CheckPacgumRightToPacman]
[Node 116 | Parent : 112 | Child : R | Depth : 15 | IfNode | Tester : CheckWallRightToPacman]
[Node 45 | Parent : 44 | Child : L | Depth : 16 | IfNode | Tester : CheckWallDownToPacman]
[Node 48 | Parent : 44 | Child : R | Depth : 16 | IfNode | Tester : CheckWallRightToPacman]
[Node 78 | Parent : 77 | Child : L | Depth : 16 | IfNode | Tester : CheckPacgumLeftToPacman]
[Node 81 | Parent : 77 | Child : R | Depth : 16 | IfNode | Tester : CheckPacgumUpToPacman]
[Node 103 | Parent : 102 | Child : L | Depth : 16 | IfNode | Tester : CheckGhostUpToPacman]
[Node 106 | Parent : 102 | Child : R | Depth : 16 | TerminalNode | Direction : DOWN]
[Node 108 | Parent : 28 | Child : R | Depth : 16 | TerminalNode | Direction : LEFT]
[Node 109 | Parent : 107 | Child : R | Depth : 16 | IfNode | Tester : CheckGhostIsClose]
[Node 114 | Parent : 113 | Child : L | Depth : 16 | TerminalNode | Direction : UP]
[Node 115 | Parent : 113 | Child : R | Depth : 16 | TerminalNode | Direction : LEFT]
[Node 117 | Parent : 116 | Child : L | Depth : 16 | TerminalNode | Direction : UP]
[Node 118 | Parent : 116 | Child : R | Depth : 16 | TerminalNode | Direction : UP]
[Node 46 | Parent : 45 | Child : L | Depth : 17 | TerminalNode | Direction : DOWN]
[Node 47 | Parent : 45 | Child : R | Depth : 17 | TerminalNode | Direction : LEFT]
[Node 49 | Parent : 48 | Child : L | Depth : 17 | TerminalNode | Direction : UP]
[Node 50 | Parent : 48 | Child : R | Depth : 17 | IfNode | Tester : CheckPacgumUpToPacman]
[Node 79 | Parent : 78 | Child : L | Depth : 17 | TerminalNode | Direction : RIGHT]
[Node 80 | Parent : 78 | Child : R | Depth : 17 | TerminalNode | Direction : DOWN]
[Node 82 | Parent : 81 | Child : L | Depth : 17 | IfNode | Tester : CheckWallDownToPacman]
[Node 99 | Parent : 81 | Child : R | Depth : 17 | TerminalNode | Direction : RIGHT]
[Node 104 | Parent : 103 | Child : L | Depth : 17 | TerminalNode | Direction : LEFT]
[Node 105 | Parent : 103 | Child : R | Depth : 17 | TerminalNode | Direction : LEFT]
[Node 110 | Parent : 109 | Child : L | Depth : 17 | TerminalNode | Direction : UP]
[Node 111 | Parent : 109 | Child : R | Depth : 17 | TerminalNode | Direction : RIGHT]
[Node 51 | Parent : 50 | Child : L | Depth : 18 | IfNode | Tester : CheckWallDownToPacman]
[Node 64 | Parent : 50 | Child : R | Depth : 18 | IfNode | Tester : CheckWallLeftToPacman]
[Node 83 | Parent : 82 | Child : L | Depth : 18 | IfNode | Tester : CheckGhostDownToPacman]
[Node 94 | Parent : 82 | Child : R | Depth : 18 | IfNode | Tester : CheckGhostIsClose]
[Node 52 | Parent : 51 | Child : L | Depth : 19 | IfNode | Tester : CheckWallRightToPacman]
