-----------------------------------------------------------------------
Generation 50

Pacman N°1
[Node 1 | Parent : ø | Child : ø | Depth : 0 | IfNode | Tester : CheckPacgumUpToPacman]
[Node 2 | Parent : 1 | Child : L | Depth : 1 | IfNode | Tester : CheckWallLeftToPacman]
[Node 185 | Parent : 1 | Child : R | Depth : 1 | IfNode | Tester : CheckWallRightToPacman]
[Node 3 | Parent : 2 | Child : L | Depth : 2 | IfNode | Tester : CheckGhostLeftToPacman]
[Node 6 | Parent : 2 | Child : R | Depth : 2 | IfNode | Tester : CheckGhostIsClose]
[Node 186 | Parent : 185 | Child : L | Depth : 2 | TerminalNode | Direction : LEFT]
[Node 187 | Parent : 185 | Child : R | Depth : 2 | IfNode | Tester : CheckGhostLeftToPacman]
[Node 4 | Parent : 3 | Child : L | Depth : 3 | TerminalNode | Direction : DOWN]
[Node 5 | Parent : 3 | Child : R | Depth : 3 | TerminalNode | Direction : DOWN]
[Node 7 | Parent : 6 | Child : L | Depth : 3 | IfNode | Tester : CheckWallUpToPacman]
[Node 14 | Parent : 6 | Child : R | Depth : 3 | IfNode | Tester : CheckGhostIsClose]
[Node 188 | Parent : 187 | Child : L | Depth : 3 | IfNode | Tester : CheckGhostLeftToPacman]
[Node 193 | Parent : 187 | Child : R | Depth : 3 | IfNode | Tester : CheckGhostRightToPacman]
[Node 8 | Parent : 7 | Child : L | Depth : 4 | IfNode | Tester : CheckWallUpToPacman]
[Node 11 | Parent : 7 | Child : R | Depth : 4 | IfNode | Tester : CheckWallRightToPacman]
[Node 15 | Parent : 14 | Child : L | Depth : 4 | TerminalNode | Direction : RIGHT]
[Node 16 | Parent : 14 | Child : R | Depth : 4 | IfNode | Tester : CheckPacgumUpToPacman]
[Node 189 | Parent : 188 | Child : L | Depth : 4 | IfNode | Tester : CheckGhostDownToPacman]
[Node 192 | Parent : 188 | Child : R | Depth : 4 | TerminalNode | Direction : DOWN]
[Node 194 | Parent : 193 | Child : L | Depth : 4 | TerminalNode | Direction : DOWN]
[Node 195 | Parent : 193 | Child : R | Depth : 4 | IfNode | Tester : CheckPacgumDownToPacman]
[Node 9 | Parent : 8 | Child : L | Depth : 5 | TerminalNode | Direction : UP]
[Node 10 | Parent : 8 | Child : R | Depth : 5 | TerminalNode | Direction : UP]
[Node 12 | Parent : 11 | Child : L | Depth : 5 | TerminalNode | Direction : LEFT]
[Node 13 | Parent : 11 | Child : R | Depth : 5 | TerminalNode | Direction : DOWN]
[Node 17 | Parent : 16 | Child : L | Depth : 5 | IfNode | Tester : CheckWallLeftToPacman]
[Node 184 | Parent : 16 | Child : R | Depth : 5 | TerminalNode | Direction : LEFT]
[Node 190 | Parent : 189 | Child : L | Depth : 5 | TerminalNode | Direction : RIGHT]
[Node 191 | Parent : 189 | Child : R | Depth : 5 | TerminalNode | Direction : LEFT]
[Node 196 | Parent : 195 | Child : L | Depth : 5 | TerminalNode | Direction : LEFT]
[Node 197 | Parent : 195 | Child : R | Depth : 5 | IfNode | Tester : CheckGhostLeftToPacman]
[Node 18 | Parent : 17 | Child : L | Depth : 6 | IfNode | Tester : CheckGhostLeftToPacman]
